customer_id,gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,region,support_calls,monthly_charges,total_charges,churn,tenure_group,avg_monthly_spend,payment_issue_flag,service_usage_score,contract_value_score,retention_score,customer_value_segment,internet_service_value,total_services_count,churn_risk_flag
CUST000602,Male,1,No,Yes,58,Yes,Yes,Fiber optic,No,No internet service,No internet service,No,No,No,Month-to-month,Yes,Electronic check,West,1,105.73,6132.34,Yes,48+ months,Premium ($100+),1,2,1,38.17,High Value - At Risk,2,3,1
CUST002032,Female,1,Yes,No,72,Yes,Yes,Fiber optic,No,No,Yes,No,No,No internet service,Two year,No,Credit card (automatic),North,1,87.05,6267.6,No,48+ months,High ($70-$100),0,3,3,86.5,High Value - High Retention,2,4,0
CUST001929,Female,0,Yes,No,28,Yes,Yes,Fiber optic,Yes,No internet service,No,No,Yes,No internet service,Month-to-month,Yes,Electronic check,North,2,103.01,2884.28,No,24-36 months,Premium ($100+),1,4,1,29.67,High Value - At Risk,2,5,1
CUST000469,Male,0,No,Yes,11,Yes,No phone service,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,East,2,126.78,1394.58,Yes,0-12 months,Premium ($100+),0,4,1,37.58,High Value - At Risk,2,5,1
CUST006352,Female,0,No,No,7,Yes,Yes,Fiber optic,Yes,No internet service,No,No,No,Yes,Two year,No,Bank transfer (automatic),North,0,107.07,749.49,No,0-12 months,Premium ($100+),0,4,3,62.92,High Value - At Risk,2,5,0
CUST000749,Female,1,Yes,No,44,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),East,1,132.04,5809.76,No,36-48 months,Premium ($100+),0,6,3,82.33,High Value - High Retention,2,7,0
CUST005297,Male,0,No,No,56,No,No,Fiber optic,No internet service,No,No,No,No,No,Month-to-month,Yes,Electronic check,East,2,102.06,5715.36,Yes,48+ months,Premium ($100+),1,0,1,31.33,High Value - At Risk,2,0,1
CUST001394,Female,0,Yes,No,72,Yes,Yes,Fiber optic,Yes,No internet service,No internet service,No,No internet service,Yes,Month-to-month,No,Credit card (automatic),North,2,111.37,8018.64,No,48+ months,Premium ($100+),0,4,1,63.0,High Value - At Risk,2,5,0
CUST000252,Male,0,Yes,No,2,Yes,No,Fiber optic,No internet service,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),South,1,125.12,250.24,No,0-12 months,Premium ($100+),0,3,1,32.33,High Value - At Risk,2,4,1
CUST005520,Female,1,Yes,No,37,Yes,No,No,Yes,Yes,No,No,Yes,No,One year,Yes,Bank transfer (automatic),East,5,38.0,1406.0,No,36-48 months,Medium ($30-$70),0,4,2,57.92,Low Value - At Risk,0,5,0
