CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,Region,SupportCalls,MonthlyCharges,TotalCharges,Churn
CUST000602,Male,1,No,Yes,58,Yes,Yes,Fiber optic,No,No internet service,No internet service,No,No,No,Month-to-month,Yes,Electronic check,West,1,105.73,6132.34,Yes
CUST002032,Female,1,Yes,No,72,Yes,Yes,Fiber optic,No,No,Yes,No,No,No internet service,Two year,No,Credit card (automatic),North,1,87.05,6267.6,No
CUST001929,Female,0,Yes,No,28,Yes,Yes,Fiber optic,Yes,No internet service,No,No,Yes,No internet service,Month-to-month,Yes,Electronic check,North,2,103.01,2884.28,No
CUST000469,Male,0,No,Yes,11,Yes,No phone service,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,East,2,126.78,1394.58,Yes
CUST006352,Female,0,No,No,7,Yes,Yes,Fiber optic,Yes,No internet service,No,No,No,Yes,Two year,No,Bank transfer (automatic),North,0,107.07,749.49,No
CUST000749,Female,1,Yes,No,44,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),East,1,132.04,5809.76 ,No
CUST005297,Male,0,No,No,56,No,No,Fiber optic,No internet service,No,No,No,No,No,Month-to-month,Yes,Electronic check,East,2,102.06,5715.36,Yes
CUST001394,Female,0,Yes,No,72,Yes,Yes,Fiber optic,Yes,No internet service,No internet service,No,No internet service,Yes,Month-to-month,No,Credit card (automatic),North,2,111.37,8018.64,No
CUST000252,Male,0,Yes,No,2,Yes,No,Fiber optic,No internet service,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),South,1,125.12,250.24,No
CUST005520,Female,1,Yes,No,37,Yes,No,No,Yes,Yes,No,No,Yes,No,One year,Yes,Bank transfer (automatic),East,5,38.0,1406.0,No
CUST006333,Female,0,Yes,Yes,6,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),West,3,135.12,810.72,Yes
CUST007499,Male,0,No,No,14,Yes,Yes,Fiber optic,No,No internet service,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,Central,4,104.06,1456.84,No
CUST005688,Female,1,Yes,No,1,Yes,Yes,Fiber optic,No internet service,Yes,Yes,No,Yes,No internet service,One year,No,Credit card (automatic),South,6,104.64,104.64,Yes
CUST005414,Male,0,Yes,No,22,Yes,Yes,No,No,No internet service,No,No,Yes,No,Two year,Yes,Credit card (automatic),Central,0,28.0,616.0,Yes
CUST002200,Male,0,No,Yes,40,Yes,No,No,Yes,Yes,No,Yes,No,Yes,One year,Yes,Electronic check,Central,5,43.0,1720.0,No
CUST002580,Female,1,No,No,21,No,No,Fiber optic,No internet service,No,No internet service,No,Yes,No,Two year,No,Mailed check,South,3,101.03,2121.63,No
CUST007466,Male,0,Yes,Yes,24,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),South,3,100.72,2417.28,No
CUST006131,Male,0,No,No,59,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No internet service,Month-to-month,No,Electronic check,North,3,123.0,7257.0,No
CUST003396,F,0,No,No,44,Yes,No phone service,No,No internet service,Yes,No internet service,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),Central,0,33.0,1452.0,No
CUST001616,Female,0,Yes,Yes,0,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Two year,No,Mailed check,East,4,109.36,0.0,No
CUST002234,Female,0,No,Yes,2,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,North,4,56.18,112.36,Yes
CUST005598,Female,0,Yes,Yes,29,Yes,No,No,No internet service,Yes,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),Central,2,46.0,1334.0,No
CUST005463,Male,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,No internet service,No internet service,No,No,No,Month-to-month,Yes,Mailed check,East,0,111.16,8003.52,No
CUST001733,Female,1,Yes,Yes,11,Yes,Yes,No,No,Yes,No,No,No internet service,No,Month-to-month,Yes,Mailed check,North,2,25.0,275.0,No
CUST002847,Female,0,Yes,No,18,No,Yes,DSL,No,No internet service,No,Yes,No,Yes,Month-to-month,No,Electronic check,Central,5,59.2,1065.6,No
CUST007335,Male,0,No,No,19,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),South,6,69.35,1317.65,No
CUST003654,Male,0,No,Yes,29,No,No phone service,Fiber optic,No,No,No,No internet service,Yes,Yes,One year,Yes,Mailed check,South,0,123.2,3572.8,No
CUST003530,Male,0,No,No,29,Yes,No,No,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,West,4,38.0,1102.0,Yes
CUST006175,Female,1,No,No,8,Yes,Yes,No,Yes,No,No,Yes,No internet service,No,Month-to-month,Yes,Electronic check,Central,3,30.0,240.0,Yes
CUST002108,Female,0,No,No,72,No,Yes,Fiber optic,No internet service,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),North,1,114.52,8245.44,No
CUST006213,Male,0,No,No,4,Yes,No phone service,Fiber optic,Yes,No,No,No,No internet service,No,Two year,No,Credit card (automatic),South,2,105.68,422.72,Yes
CUST000473,Male,0,No,Yes,9,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,South,3,116.41,1047.69,Yes
CUST003934,Male,0,No,Yes,1,No,Yes,DSL,Yes,No,No internet service,No,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),North,0,65.59,65.59,No
